team_name,Liga,Temporada,xG,xAG,Save_Porcentaje,CS_Porcentaje,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Total cmp% ,Total cmp ,Total att ,TotDist
Mönchengladbach,GER-Bundesliga,2021,35.7,37.8,68.6,14.7,527,1291,80.9,14537,17978,251602
Greuther Fürth,GER-Bundesliga,2021,26.2,18.8,63.4,17.6,413,976,72.9,10180,13971,187432
Hertha BSC,GER-Bundesliga,2021,30.9,25,59.6,17.6,462,975,73.3,10314,14077,185733
Hoffenheim,GER-Bundesliga,2021,58.3,46.8,64.2,8.8,879,1550,79,14323,18141,256560
1.FC Köln,GER-Bundesliga,2021,47.9,38.6,68.2,11.8,709,1341,74.7,12636,16910,245192
Leverkusen,GER-Bundesliga,2021,57.8,46.2,72.2,23.5,709,1341,80.4,14735,18338,258289
Mainz,GER-Bundesliga,2021,47.2,36.4,68,29.4,444,1178,71.8,10773,15000,190321
Leipzig,GER-Bundesliga,2021,58.4,49.2,70.4,29.4,767,1442,81.8,16163,19771,265026
Stuttgart,GER-Bundesliga,2021,43.3,31.4,66.3,11.8,571,1269,79.3,13753,17353,244827
Union Berlin,GER-Bundesliga,2021,43.3,31.5,65.6,23.5,429,1123,72,10673,14818,204003
Wolfsburg,GER-Bundesliga,2021,44.9,33.8,67.9,32.4,502,1220,76.6,12596,16439,238876
Arm. Bielefeld,GER-Bundesliga,2020,31.9,24.3,70.3,26.5,451,954,72.5,10582,14604,214163
Augsburg,GER-Bundesliga,2020,28.7,25.1,74,20.6,452,1007,72.4,10257,14168,193960
Bayern Munich,GER-Bundesliga,2020,74.5,58,66.8,17.6,727,1968,83.3,18358,22039,327421
Dortmund,GER-Bundesliga,2020,57.5,44.8,65.6,20.6,682,1494,84,18812,22396,330898
Frankfurt,GER-Bundesliga,2020,57.6,46.5,72.1,23.5,737,1485,77.3,14241,18424,253275
Freiburg,GER-Bundesliga,2020,44,33.5,70,26.5,655,1198,76.3,12177,15960,235666
Mönchengladbach,GER-Bundesliga,2020,46.1,37.9,67.8,14.7,647,1412,80.2,15207,18955,258868
Hertha BSC,GER-Bundesliga,2020,40.8,31.3,68.4,14.7,569,1083,77.7,12566,16169,248502
Hoffenheim,GER-Bundesliga,2020,43.1,35.8,68.2,17.6,648,1341,79.1,14269,18046,259701
1.FC Köln,GER-Bundesliga,2020,35,27.6,70.2,26.5,557,1095,75.3,11954,15870,227260
Leverkusen,GER-Bundesliga,2020,48.7,39.1,67.3,20.6,652,1334,82.5,17887,21683,323019
Mainz,GER-Bundesliga,2020,39.5,32.7,75,29.4,499,1159,69.2,9531,13776,176200
Leipzig,GER-Bundesliga,2020,57.5,44.2,75.2,38.2,688,1400,81.6,17500,21450,292079
FC Schalke 04,GER-Bundesliga,2020,28.9,23.3,59.4,11.8,447,933,75.4,11084,14706,202831
Stuttgart,GER-Bundesliga,2020,44.5,36.8,69.1,14.7,617,1416,79.4,14115,17768,245018
Union Berlin,GER-Bundesliga,2020,40.5,32.1,68.6,20.6,509,1018,74.3,11859,15951,222470
Werder Bremen,GER-Bundesliga,2020,35.7,26.1,71,29.4,525,1150,74.9,11648,15559,211793
Wolfsburg,GER-Bundesliga,2020,45.4,36.2,78.5,41.2,521,1157,76.2,13133,17236,251433
