club_id,team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados,Total_Pases_Intentados,Total_Distancia_Pases
1020,Villarreal,ESP-La Liga,2023,55.6,40.5,1558,1558,71.7,15.8,82.4,15349,18637,278006
1001,UD Almería,ESP-La Liga,2022,45.5,35.5,1099,1099,70,23.7,76.6,12151,15855,225475
1002,Athletic Club,ESP-La Liga,2022,48.7,38.9,1816,1621,67.5,28.9,77.5,14440,18630,261620
1003,Atlético,ESP-La Liga,2022,61.1,48,1571,1730,80.3,34.2,82.1,16814,20488,277627
1004,Barcelona,ESP-La Liga,2022,75.5,61.1,2182,2182,83.3,28.9,86.1,21298,24733,364375
1005,Real Betis,ESP-La Liga,2022,44.3,34.6,1282,1441,74,34.2,80.4,14678,18249,245275
1006,Cádiz CF,ESP-La Liga,2022,37.7,27.7,969,969,70.2,34.2,71.2,9940,13952,190101
1007,Celta de Vigo,ESP-La Liga,2022,50.8,44.9,1653,1653,64.2,23.7,79.5,14700,18499,267004
1008,Elche CF,ESP-La Liga,2022,37.5,33.6,1197,1197,71.2,10.5,76.5,12051,15758,218542
1009,Espanyol,ESP-La Liga,2022,44.4,35,1146,,79.4,1146,73.7,10827,14698,208293
1010,Getafe,ESP-La Liga,2022,37.5,30.6,981,981,75.3,23.7,68.6,9690,14126,189556
1011,Girona,ESP-La Liga,2022,41.1,37.5,1378,1378,70.8,10.5,81.4,15146,18604,264810
1012,RCD Mallorca,ESP-La Liga,2022,31.1,26.5,948,948,74.5,34.2,73.3,10451,14261,199896
1013,CA Osasuna,ESP-La Liga,2022,39.8,35.9,1221,1221,72.3,28.9,75.6,12725,16835,242236
1014,Rayo Vallecano,ESP-La Liga,2022,37.8,30,1390,1390,76,23.7,76.4,13497,17666,251321
1015,Real Madrid,ESP-La Liga,2022,56.8,56.6,2017,2017,76.5,34.2,88.3,22082,25012,357586
1016,Real Sociedad,ESP-La Liga,2022,49.7,39.7,1483,1483,74.4,39.5,80.1,15324,19134,269422
1017,Sevilla FC,ESP-La Liga,2022,46.3,43,1513,1513,67.7,23.7,80.1,15379,19193,273953
1018,Valencia,ESP-La Liga,2022,49.3,43,1472,1472,71.4,18.4,77.7,13592,17492,240816
1019,Real Valladolid,ESP-La Liga,2022,38.5,35.4,1084,1084,71.4,13.2,76.9,12627,16425,238766
1020,Villarreal,ESP-La Liga,2022,61.6,46.4,1622,1622,75.8,23.7,83.7,16634,19862,295552
1001,Alavés,ESP-La Liga,2021,25.5,22.8,984,835,64.9,15.8,68.3,9676,14175,191044
1002,Athletic Club,ESP-La Liga,2021,37.5,36,1463,1572,74.8,34.2,74.9,12947,17283,229197
1003,Atlético,ESP-La Liga,2021,49.6,39.6,1466,1618,78.7,31.6,78.9,15076,19098,253140
1004,Barcelona,ESP-La Liga,2021,54.7,47.6,2079,2212,70.7,28.9,85.9,21489,25006,359280
1005,Real Betis,ESP-La Liga,2021,45.1,37.7,1518,1773,72,34.2,80.8,15702,19444,273534
1006,Cádiz CF,ESP-La Liga,2021,39.5,34.6,1309,1486,78,34.2,70.3,10136,14415,195586
1007,Celta de Vigo,ESP-La Liga,2021,38.8,31.6,1447,1653,71.3,36.8,77.7,16007,20591,286771
1008,Elche CF,ESP-La Liga,2021,32.9,27.6,1212,1434,74.1,21.1,76.9,12948,16836,237191
1009,Espanyol,ESP-La Liga,2021,29.4,24.8,917,1102,74.1,26.3,79,13360,16919,237866
1010,Getafe,ESP-La Liga,2021,26.7,25.8,1133,1047,70.5,36.8,70.4,10278,14607,196813
1011,Granada CF,ESP-La Liga,2021,31.7,25.8,1129,1223,72,21.1,71.1,10582,14889,199289
1012,Levante,ESP-La Liga,2021,35.1,29.6,1359,1399,68.1,15.8,76.6,12584,16422,226757
1013,RCD Mallorca,ESP-La Liga,2021,28.3,25.7,1129,1030,62.5,23.7,73.5,11046,15023,194935
1014,CA Osasuna,ESP-La Liga,2021,32.9,27.6,1327,1219,68.9,31.6,72,11904,16522,228055
1015,Rayo Vallecano,ESP-La Liga,2021,30.7,25.8,1312,1390,76,23.7,75.3,12747,16933,237761
1016,Real Madrid,ESP-La Liga,2021,59.5,50.7,2078,2078,78.3,42.1,87.2,21373,24517,355560
1017,Real Sociedad,ESP-La Liga,2021,32.9,35,1554,1622,74.8,52.6,79.8,15403,19304,269268
1018,Sevilla FC,ESP-La Liga,2021,42.4,32.5,1595,1595,72,44.7,82.4,18327,22234,341688
1019,Valencia,ESP-La Liga,2021,30.6,25.4,1202,1202,71.8,31.6,69.9,9627,13777,187440
1020,Villarreal,ESP-La Liga,2021,50.9,49.9,1788,1788,74.2,36.8,81.8,16679,20401,294002
1001,Alavés,ESP-La Liga,2020,27.4,21,963,789,62,23.7,71,10217,14390,196749
1002,Athletic Club,ESP-La Liga,2020,31,27.9,1496,1581,69.1,23.7,76.1,13577,17841,251118
1003,Atlético,ESP-La Liga,2020,48,38.8,1604,1782,80.3,47.4,81,16757,20680,276506
1004,Barcelona,ESP-La Liga,2020,63.2,53.2,2157,2157,74.6,36.8,88.4,25192,28488,384110
1005,Real Betis,ESP-La Liga,2020,33.4,30.5,1447,1557,69.1,13.2,80.4,15816,19679,273427
1006,Cádiz CF,ESP-La Liga,2020,20.4,16.9,854,981,72,26.3,65.9,7949,12067,158876
1007,Celta de Vigo,ESP-La Liga,2020,39.3,32.3,1308,1308,63.8,23.7,78.6,15176,19318,263065
1008,SD Eibar,ESP-La Liga,2020,29.9,25.5,792,929,63.7,18.4,69.9,11810,16890,234607
1009,Elche CF,ESP-La Liga,2020,25.1,19.8,1030,785,69.6,18.4,79,13481,17054,244141
1010,Getafe,ESP-La Liga,2020,23.6,24,981,1040,70.6,36.8,64.8,8977,13863,170990
1011,Granada CF,ESP-La Liga,2020,37.1,32.6,1185,1185,65.3,23.7,68.1,9083,13336,173761
1012,SD Huesca,ESP-La Liga,2020,30.6,26.8,975,1035,67.8,13.2,77.3,13511,17483,250957
1013,Levante,ESP-La Liga,2020,35.1,29.6,1537,1537,66.9,10.5,78.3,14189,18113,256983
1014,CA Osasuna,ESP-La Liga,2020,34.7,24.9,1220,1220,69.7,28.9,68.1,10233,15031,201352
1015,Rayo Vallecano,ESP-La Liga,2020,36.2,32.2,1081,1362,76.9,23.7,,,,
1016,Real Madrid,ESP-La Liga,2020,54.6,55.4,1773,1920,72.2,44.7,85.6,20652,24119,352965
1017,Real Sociedad,ESP-La Liga,2020,39.6,39.7,1554,1622,66.7,36.8,78.5,14915,18995,264692
1018,Sevilla FC,ESP-La Liga,2020,41,36.3,1627,1554,75.8,44.7,84.2,19248,22873,342985
1019,Valencia,ESP-La Liga,2020,35.2,27.2,1180,1227,67.6,18.4,77.4,12755,16480,241622
1020,Real Valladolid,ESP-La Liga,2020,24.2,25.7,991,1101,68.3,7.9,72.4,11145,15385,206105
1021,Villarreal,ESP-La Liga,2020,51.7,49.7,1522,1522,70.6,26.3,82.9,17508,21129,305401
